Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-09-01,XLG,11.591419,1%,1
2015-09-01,XLG,11.474334,2%,1
2015-09-02,XLG,11.552797,1%,1
2015-09-04,XLG,11.456659,1%,1
2015-09-09,XLG,11.814598,1%,1
2015-09-09,XLG,11.695259,2%,1
2015-09-25,XLG,11.663311,1%,1
2015-09-28,XLG,11.373303,1%,1
2015-10-01,XLG,11.489822,1%,1
2015-11-09,XLG,12.761196,1%,1
2015-11-13,XLG,12.448749,1%,1
2015-12-03,XLG,12.725809,1%,1
2015-12-03,XLG,12.597266,2%,1
2015-12-17,XLG,12.797446,1%,1
2015-12-18,XLG,12.489292,1%,1
2016-01-08,XLG,12.028815,1%,1
2016-01-08,XLG,11.907311,2%,1
2016-01-11,XLG,11.874452,1%,1
2016-01-12,XLG,11.988921,1%,1
2016-01-13,XLG,12.028811,1%,1
2016-01-13,XLG,11.907307,2%,1
2016-01-13,XLG,11.785804,3%,1
2016-01-14,XLG,11.753912,1%,1
2016-01-19,XLG,11.757383,1%,1
2016-01-19,XLG,11.638621,2%,1
2016-01-20,XLG,11.412238,1%,1
2016-01-25,XLG,11.772994,1%,1
2016-01-27,XLG,11.72703,1%,1
2016-01-28,XLG,11.799005,1%,1
2016-02-02,XLG,11.888327,1%,1
2016-02-03,XLG,11.849301,1%,1
2016-02-05,XLG,11.825025,1%,1
2016-02-10,XLG,11.661122,1%,1
2016-02-23,XLG,12.030547,1%,1
2016-03-10,XLG,12.316721,1%,1
2016-04-07,XLG,12.728664,1%,1
2016-05-17,XLG,12.696396,1%,1
2016-06-24,XLG,12.719777,1%,1
2016-09-09,XLG,13.418543,1%,1
2016-09-29,XLG,13.471906,1%,1
2016-11-01,XLG,13.243615,1%,1
2016-11-03,XLG,13.110517,1%,1
2016-11-10,XLG,13.527435,1%,1
2016-11-14,XLG,13.478957,1%,1
2017-03-21,XLG,14.998645,1%,1
2017-05-17,XLG,15.054688,1%,1
2017-06-09,XLG,15.390977,1%,1
2017-07-27,XLG,15.745396,1%,1
2017-08-10,XLG,15.680142,1%,1
2017-08-17,XLG,15.671209,1%,1
2017-12-01,XLG,16.888348,1%,1
2018-02-02,XLG,18.078343,1%,1
2018-02-05,XLG,17.571572,1%,1
2018-02-05,XLG,17.394082,2%,1
2018-02-05,XLG,17.216591,3%,1
2018-02-08,XLG,17.212947,1%,1
2018-02-08,XLG,17.039079,2%,1
2018-02-08,XLG,16.865211,3%,1
2018-02-09,XLG,16.802839,1%,1
2018-02-09,XLG,16.633113,2%,1
2018-02-09,XLG,16.463388,3%,1
2018-02-27,XLG,18.006074,1%,1
2018-02-28,XLG,17.87058,1%,1
2018-03-01,XLG,17.59777,1%,1
2018-03-01,XLG,17.420014,2%,1
2018-03-13,XLG,18.105442,1%,1
2018-03-19,XLG,17.623974,1%,1
2018-03-22,XLG,17.232229,1%,1
2018-03-23,XLG,16.958376,1%,1
2018-03-23,XLG,16.787079,2%,1
2018-03-26,XLG,16.848649,1%,1
2018-03-27,XLG,17.064466,1%,1
2018-03-27,XLG,16.892098,2%,1
2018-04-02,XLG,16.810559,1%,1
2018-04-02,XLG,16.640756,2%,1
2018-04-06,XLG,17.000084,1%,1
2018-04-06,XLG,16.828366,2%,1
2018-04-13,XLG,17.215906,1%,1
2018-04-20,XLG,17.281195,1%,1
2018-04-24,XLG,17.068098,1%,1
2018-05-03,XLG,16.902149,1%,1
2018-06-25,XLG,17.621864,1%,1
2018-07-03,XLG,17.674665,1%,1
2018-07-27,XLG,18.461221,1%,1
2018-10-04,XLG,19.223251,1%,1
2018-10-05,XLG,19.107988,1%,1
2018-10-10,XLG,18.935998,1%,1
2018-10-10,XLG,18.744726,2%,1
2018-10-10,XLG,18.553453,3%,1
2018-10-11,XLG,18.204139,1%,1
2018-10-11,XLG,18.020259,2%,1
2018-10-12,XLG,18.321235,1%,1
2018-10-18,XLG,18.476754,1%,1
2018-10-24,XLG,18.134609,1%,1
2018-10-24,XLG,17.951431,2%,1
2018-10-24,XLG,17.768253,3%,1
2018-10-26,XLG,17.69915,1%,1
2018-10-29,XLG,17.862905,1%,1
2018-10-29,XLG,17.682472,2%,1
2018-10-29,XLG,17.502038,3%,1
2018-11-02,XLG,18.112649,1%,1
2018-11-09,XLG,18.426441,1%,1
2018-11-12,XLG,18.256281,1%,1
2018-11-12,XLG,18.071874,2%,1
2018-11-14,XLG,18.043123,1%,1
2018-11-14,XLG,17.86087,2%,1
2018-11-19,XLG,17.903159,1%,1
2018-11-19,XLG,17.722319,2%,1
2018-12-03,XLG,18.43559,1%,1
2018-12-04,XLG,18.262683,1%,1
2018-12-04,XLG,18.078211,2%,1
2018-12-07,XLG,17.670791,1%,1
2018-12-07,XLG,17.492298,2%,1
2018-12-10,XLG,17.249054,1%,1
2018-12-11,XLG,17.578396,1%,1
2018-12-14,XLG,17.305771,1%,1
2018-12-17,XLG,17.013943,1%,1
2018-12-17,XLG,16.842085,2%,1
2018-12-18,XLG,16.888612,1%,1
2018-12-19,XLG,16.808109,1%,1
2018-12-19,XLG,16.63833,2%,1
2018-12-20,XLG,16.441262,1%,1
2018-12-20,XLG,16.275188,2%,1
2018-12-21,XLG,16.230854,1%,1
2018-12-21,XLG,16.066906,2%,1
2018-12-24,XLG,15.703439,1%,1
2018-12-27,XLG,16.073413,1%,1
2018-12-28,XLG,16.508723,1%,1
2019-01-03,XLG,16.428653,1%,1
2019-01-03,XLG,16.262707,2%,1
2019-01-08,XLG,16.999254,1%,1
2019-01-22,XLG,17.415239,1%,1
2019-01-23,XLG,17.348975,1%,1
2019-02-07,XLG,17.781525,1%,1
2019-03-04,XLG,18.446919,1%,1
2019-03-07,XLG,18.235241,1%,1
2019-03-22,XLG,18.858387,1%,1
2019-03-27,XLG,18.72246,1%,1
2019-05-01,XLG,19.724785,1%,1
2019-05-07,XLG,19.383586,1%,1
2019-05-10,XLG,19.033146,1%,1
2019-06-03,XLG,18.247183,1%,1
2019-06-25,XLG,19.637418,1%,1
2019-07-19,XLG,20.076628,1%,1
2019-07-31,XLG,20.099838,1%,1
2019-08-01,XLG,19.847263,1%,1
2019-08-02,XLG,19.590056,1%,1
2019-08-05,XLG,19.144344,1%,1
2019-08-05,XLG,18.950967,2%,1
2019-08-09,XLG,19.460984,1%,1
2019-08-14,XLG,19.214916,1%,1
2019-08-23,XLG,19.395053,1%,1
2019-08-23,XLG,19.199143,2%,1
2019-08-27,XLG,19.316125,1%,1
2019-09-20,XLG,20.076629,1%,1
2019-09-24,XLG,19.981387,1%,1
2019-09-27,XLG,19.820045,1%,1
2019-10-01,XLG,19.906779,1%,1
2019-10-02,XLG,19.499227,1%,1
2020-01-03,XLG,21.903513,1%,1
2020-01-03,XLG,21.682265,2%,1
2020-01-03,XLG,21.461018,3%,1
2020-01-24,XLG,22.735875,1%,1
2020-01-31,XLG,22.520528,1%,1
2020-02-20,XLG,23.225547,1%,1
2020-02-21,XLG,23.055145,1%,1
2020-02-25,XLG,22.170355,1%,1
2020-02-25,XLG,21.946412,2%,1
2020-02-25,XLG,21.722469,3%,1
2020-02-27,XLG,20.885763,1%,1
2020-02-27,XLG,20.674795,2%,1
2020-03-02,XLG,20.565559,1%,1
2020-03-03,XLG,21.440988,1%,1
2020-03-03,XLG,21.224412,2%,1
2020-03-03,XLG,21.007837,3%,1
2020-03-03,XLG,20.791261,4%,1
2020-03-04,XLG,21.116094,1%,1
2020-03-05,XLG,21.01123,1%,1
2020-03-09,XLG,19.100268,1%,1
2020-03-09,XLG,18.907336,2%,1
2020-03-09,XLG,18.714404,3%,1
2020-03-09,XLG,18.521472,4%,1
2020-03-09,XLG,18.32854,5%,1
2020-03-10,XLG,19.801543,1%,1
2020-03-10,XLG,19.601528,2%,1
2020-03-10,XLG,19.401512,3%,1
2020-03-11,XLG,19.582457,1%,1
2020-03-11,XLG,19.384654,2%,1
2020-03-11,XLG,19.186852,3%,1
2020-03-12,XLG,17.810996,1%,1
2020-03-12,XLG,17.631087,2%,1
2020-03-13,XLG,18.40554,1%,1
2020-03-13,XLG,18.219625,2%,1
2020-03-13,XLG,18.033711,3%,1
2020-03-16,XLG,16.98894,1%,1
2020-03-16,XLG,16.817335,2%,1
2020-03-16,XLG,16.645729,3%,1
2020-03-17,XLG,17.432741,1%,1
2020-03-17,XLG,17.256653,2%,1
2020-03-18,XLG,17.040437,1%,1
2020-03-18,XLG,16.868311,2%,1
2020-03-18,XLG,16.696186,3%,1
2020-03-19,XLG,17.207092,1%,1
2020-03-19,XLG,17.033283,2%,1
2020-03-20,XLG,17.541344,1%,1
2020-03-20,XLG,17.364159,2%,1
2020-03-20,XLG,17.186973,3%,1
2020-03-20,XLG,17.009788,4%,1
2020-03-20,XLG,16.832603,5%,1
2020-03-23,XLG,16.453358,1%,1
2020-03-23,XLG,16.287162,2%,1
2020-03-23,XLG,16.120967,3%,1
2020-03-25,XLG,17.680043,1%,1
2020-03-25,XLG,17.501457,2%,1
2020-03-27,XLG,18.134753,1%,1
2020-03-31,XLG,18.658185,1%,1
2020-04-01,XLG,17.850442,1%,1
