Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,XLG,11.84637,11.900993,11.797816,11.826428,36,Monday,11.842902,100.0,8.443876
2015-09-01,XLG,11.708504,11.708504,11.436253,11.464866,36,Tuesday,11.579532,100.0,8.635928
2015-10-01,XLG,11.605881,11.612855,11.47249,11.612855,40,Thursday,11.57602,100.0,8.638547
2015-11-02,XLG,12.758452,12.883125,12.751478,12.883125,45,Monday,12.819045,100.0,7.800893
2015-12-01,XLG,12.863069,12.92497,12.824709,12.918867,49,Tuesday,12.882904,100.0,7.762225
2016-01-04,XLG,12.446386,12.466534,12.322877,12.465657,1,Monday,12.425363,100.0,8.048054
2016-02-01,XLG,12.079361,12.169583,12.021548,12.135422,5,Monday,12.101479,100.0,8.263453
2016-03-01,XLG,12.098635,12.336018,12.094255,12.336018,9,Tuesday,12.216231,100.0,8.185831
2016-04-01,XLG,12.750644,12.895998,12.714525,12.890713,13,Friday,12.81297,100.0,7.804592
2016-05-02,XLG,12.821121,12.896,12.804383,12.888072,18,Monday,12.852394,100.0,7.780652
2016-06-01,XLG,13.024612,13.074825,12.991136,13.058969,22,Wednesday,13.037385,100.0,7.67025
2016-07-01,XLG,13.105082,13.155561,13.105082,13.128993,26,Friday,13.12368,100.0,7.619814
2016-08-01,XLG,13.577107,13.609874,13.558509,13.591276,31,Monday,13.584191,100.0,7.361498
2016-09-01,XLG,13.589505,13.597475,13.52397,13.571793,35,Thursday,13.570686,100.0,7.368824
2016-10-03,XLG,13.56169,13.570593,13.519844,13.56258,40,Monday,13.553677,100.0,7.378072
2016-11-01,XLG,13.377388,13.377388,13.215347,13.294587,44,Tuesday,13.316178,100.0,7.509662
2016-12-01,XLG,13.713935,13.713935,13.614217,13.641817,48,Thursday,13.670976,100.0,7.314767
2017-01-03,XLG,14.16987,14.200284,14.125145,14.196706,1,Tuesday,14.173001,100.0,7.055669
2017-02-01,XLG,14.338929,14.367552,14.295097,14.323722,5,Wednesday,14.331325,100.0,6.977722
2017-03-01,XLG,15.045589,15.185132,15.045589,15.156508,9,Wednesday,15.108205,100.0,6.61892
2017-04-03,XLG,15.018941,15.033319,14.918294,15.008158,14,Monday,14.994678,100.0,6.669033
2017-05-01,XLG,15.202263,15.266966,15.196871,15.2445,18,Monday,15.22765,100.0,6.567001
2017-06-01,XLG,15.404461,15.439507,15.355934,15.439507,22,Thursday,15.409852,100.0,6.489355
2017-07-03,XLG,15.490913,15.524321,15.457507,15.466535,27,Monday,15.484819,100.0,6.457938
2017-08-01,XLG,15.818666,15.834918,15.80422,15.818666,31,Tuesday,15.819118,100.0,6.321465
2017-09-01,XLG,15.969449,15.984799,15.96042,15.967643,35,Friday,15.970578,100.0,6.261514
2017-10-02,XLG,16.170318,16.210254,16.167594,16.202993,40,Monday,16.18779,100.0,6.177496
2017-11-01,XLG,16.688602,16.708572,16.630512,16.652296,44,Wednesday,16.669996,100.0,5.998802
2017-12-01,XLG,17.058937,17.117028,16.847448,17.057121,48,Friday,17.020134,100.0,5.875394
2018-01-02,XLG,17.397765,17.472587,17.397765,17.465288,1,Tuesday,17.433352,100.0,5.736132
