Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,XLG,11.84637,11.900993,11.797816,11.826428,36,Monday,11.842902,25.0,2.110969
2015-09-08,XLG,11.731916,11.810817,11.692032,11.808216,37,Tuesday,11.760745,25.0,2.125716
2015-09-14,XLG,11.739725,11.783077,11.728454,11.762268,38,Monday,11.753381,25.0,2.127048
2015-09-21,XLG,11.856101,11.897078,11.757584,11.825587,39,Monday,11.834088,25.0,2.112541
2015-09-28,XLG,11.488184,11.545726,11.368743,11.388795,40,Monday,11.447862,25.0,2.183814
2015-10-05,XLG,11.864818,11.981643,11.864818,11.976413,41,Monday,11.921923,25.0,2.096977
2015-10-12,XLG,12.137702,12.159497,12.126368,12.148164,42,Monday,12.142933,25.0,2.058811
2015-10-19,XLG,12.280686,12.329509,12.241453,12.3112,43,Monday,12.290712,25.0,2.034056
2015-10-26,XLG,12.665165,12.678242,12.638138,12.666908,44,Monday,12.662113,25.0,1.974394
2015-11-02,XLG,12.758452,12.883125,12.751478,12.883125,45,Monday,12.819045,25.0,1.950223
2015-11-09,XLG,12.890097,12.890097,12.752347,12.795067,46,Monday,12.831902,25.0,1.948269
2015-11-16,XLG,12.408847,12.618087,12.404487,12.616343,47,Monday,12.511941,25.0,1.998091
2015-11-23,XLG,12.866559,12.879636,12.804659,12.83866,48,Monday,12.847379,25.0,1.945922
2015-11-30,XLG,12.880507,12.880507,12.785477,12.785477,49,Monday,12.832992,25.0,1.948104
2015-12-07,XLG,12.883124,12.896201,12.789837,12.84825,50,Monday,12.854353,25.0,1.944866
2015-12-14,XLG,12.491668,12.571005,12.380945,12.571005,51,Monday,12.503656,25.0,1.999415
2015-12-21,XLG,12.575151,12.581283,12.461277,12.559384,52,Monday,12.544274,25.0,1.992941
2015-12-28,XLG,12.710923,12.752969,12.682017,12.745961,53,Monday,12.722968,25.0,1.96495
2016-01-04,XLG,12.446386,12.466534,12.322877,12.465657,1,Monday,12.425363,25.0,2.012014
2016-01-11,XLG,11.994396,12.043449,11.806942,11.963737,2,Monday,11.952131,25.0,2.091677
2016-01-19,XLG,11.876144,11.876144,11.629126,11.743876,3,Tuesday,11.781323,25.0,2.122003
2016-01-25,XLG,11.891913,11.923447,11.750884,11.767528,4,Monday,11.833443,25.0,2.112656
2016-02-01,XLG,12.079361,12.169583,12.021548,12.135422,5,Monday,12.101479,25.0,2.065863
2016-02-08,XLG,11.614234,11.699202,11.534523,11.674675,6,Monday,11.630658,25.0,2.149491
2016-02-16,XLG,11.87965,11.926951,11.813953,11.919067,7,Tuesday,11.884905,25.0,2.103509
2016-02-22,XLG,12.14506,12.2055,12.14506,12.180098,8,Monday,12.168929,25.0,2.054412
2016-02-29,XLG,12.143309,12.204626,12.034692,12.034692,9,Monday,12.10433,25.0,2.065377
2016-03-07,XLG,12.378062,12.450766,12.356163,12.418356,10,Monday,12.400837,25.0,2.015993
2016-03-14,XLG,12.526973,12.580406,12.507702,12.548872,11,Monday,12.540988,25.0,1.993463
2016-03-21,XLG,12.663431,12.742715,12.663431,12.726858,12,Monday,12.699109,25.0,1.968642
2016-03-28,XLG,12.69955,12.70924,12.666954,12.670479,13,Monday,12.686556,25.0,1.97059
2016-04-04,XLG,12.874858,12.896,12.856358,12.870453,14,Monday,12.874417,25.0,1.941835
2016-04-11,XLG,12.823763,12.866929,12.740074,12.740074,15,Monday,12.79271,25.0,1.954238
2016-04-18,XLG,12.925949,13.055446,12.925949,13.053684,16,Monday,12.990257,25.0,1.924519
2016-04-25,XLG,12.947974,12.981449,12.922426,12.974401,17,Monday,12.956563,25.0,1.929524
2016-05-02,XLG,12.821121,12.896,12.804383,12.888072,18,Monday,12.852394,25.0,1.945163
2016-05-09,XLG,12.798213,12.822879,12.787641,12.793808,19,Monday,12.800635,25.0,1.953028
2016-05-16,XLG,12.757692,12.899522,12.757692,12.86869,20,Monday,12.820899,25.0,1.949941
2016-05-23,XLG,12.802621,12.802621,12.740956,12.748884,21,Monday,12.773771,25.0,1.957136
2016-05-31,XLG,13.081877,13.098615,13.011402,13.073948,22,Tuesday,13.066461,25.0,1.913295
2016-06-06,XLG,13.059852,13.136493,13.059852,13.118875,23,Monday,13.093768,25.0,1.909305
2016-06-13,XLG,12.969117,13.034306,12.945332,12.945332,24,Monday,12.973522,25.0,1.927002
2016-06-20,XLG,13.026266,13.026266,12.929737,12.93505,25,Monday,12.97933,25.0,1.92614
2016-06-27,XLG,12.594979,12.594979,12.476309,12.531216,26,Monday,12.549371,25.0,1.992132
2016-07-05,XLG,13.098,13.098,13.022724,13.069661,27,Tuesday,13.072096,25.0,1.912471
2016-07-11,XLG,13.368105,13.392901,13.332681,13.352163,28,Monday,13.361462,25.0,1.871053
2016-07-18,XLG,13.498286,13.537253,13.498286,13.527511,29,Monday,13.515334,25.0,1.849751
2016-07-25,XLG,13.577106,13.577106,13.496516,13.520428,30,Monday,13.542789,25.0,1.846001
2016-08-01,XLG,13.577107,13.609874,13.558509,13.591276,31,Monday,13.584191,25.0,1.840375
2016-08-08,XLG,13.710833,13.710833,13.628472,13.654155,32,Monday,13.676073,25.0,1.82801
2016-08-15,XLG,13.699318,13.719687,13.699318,13.711717,33,Monday,13.70751,25.0,1.823818
2016-08-22,XLG,13.617843,13.655038,13.590389,13.638211,34,Monday,13.62537,25.0,1.834813
2016-08-29,XLG,13.576221,13.649726,13.576221,13.632013,35,Monday,13.608545,25.0,1.837081
2016-09-06,XLG,13.675407,13.68869,13.642639,13.683377,36,Tuesday,13.672529,25.0,1.828484
2016-09-12,XLG,13.2884,13.566478,13.286629,13.551423,37,Monday,13.423233,25.0,1.862443
2016-09-19,XLG,13.521623,13.544772,13.450395,13.455737,38,Monday,13.493132,25.0,1.852794
2016-09-26,XLG,13.532308,13.532308,13.455738,13.463751,39,Monday,13.496026,25.0,1.852397
2016-10-03,XLG,13.56169,13.570593,13.519844,13.56258,40,Monday,13.553677,25.0,1.844518
2016-10-10,XLG,13.643599,13.652502,13.629353,13.640038,41,Monday,13.641373,25.0,1.83266
2016-10-17,XLG,13.453958,13.453958,13.410331,13.429918,42,Monday,13.437041,25.0,1.860529
2016-10-24,XLG,13.540321,13.540321,13.508268,13.529636,43,Monday,13.529636,25.0,1.847795
2016-10-31,XLG,13.401429,13.412113,13.358692,13.358692,44,Monday,13.382732,25.0,1.868079
2016-11-07,XLG,13.245617,13.379169,13.245617,13.379169,45,Monday,13.312393,25.0,1.877949
2016-11-14,XLG,13.615108,13.615108,13.451285,13.485118,46,Monday,13.541655,25.0,1.846155
2016-11-21,XLG,13.705926,13.709487,13.647163,13.709487,47,Monday,13.693016,25.0,1.825748
2016-11-28,XLG,13.748662,13.781605,13.723732,13.725513,48,Monday,13.744878,25.0,1.818859
2016-12-05,XLG,13.703255,13.735308,13.701475,13.718391,49,Monday,13.714607,25.0,1.822874
2016-12-12,XLG,14.086099,14.125274,14.080757,14.101235,50,Monday,14.098341,25.0,1.773258
2016-12-19,XLG,14.193124,14.245005,14.168972,14.198491,51,Monday,14.201398,25.0,1.76039
2016-12-27,XLG,14.198492,14.289732,14.198492,14.24769,52,Tuesday,14.233602,25.0,1.756407
2017-01-03,XLG,14.16987,14.200284,14.125145,14.196706,1,Tuesday,14.173001,25.0,1.763917
2017-01-09,XLG,14.298679,14.319252,14.272739,14.297785,2,Monday,14.297114,25.0,1.748605
2017-01-17,XLG,14.244113,14.25932,14.2137,14.235168,3,Tuesday,14.238075,25.0,1.755855
2017-01-23,XLG,14.237847,14.237847,14.177916,14.226219,4,Monday,14.219957,25.0,1.758092
2017-01-30,XLG,14.324618,14.324618,14.245901,14.309411,5,Monday,14.301137,25.0,1.748113
