Date,Open,High,Low,Close,Previous Close,Day Invested,Day Shares,Total Shares,Total Invested,Portfolio Value,Gain,Gain %,Trades Executed
2015-09-02,16.40,16.40,15.91,16.35,16.22,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-03,16.43,16.61,16.28,16.43,16.35,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-04,16.26,16.32,15.87,15.96,16.43,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-08,16.22,16.39,15.99,16.25,15.96,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-09,16.44,16.61,16.27,16.31,16.25,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-10,16.28,16.42,16.16,16.29,16.31,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-11,16.24,16.33,16.08,16.18,16.29,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-14,16.18,16.25,16.08,16.17,16.18,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-15,16.23,16.38,16.15,16.32,16.17,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-16,16.55,16.66,16.46,16.59,16.32,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-17,16.58,16.86,16.49,16.63,16.59,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-18,16.47,16.53,16.28,16.35,16.63,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-21,16.44,16.71,16.40,16.56,16.35,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-22,16.37,16.38,16.04,16.18,16.56,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-23,16.16,16.25,16.05,16.21,16.18,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-24,16.12,16.17,15.87,16.11,16.21,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-25,16.30,16.35,16.04,16.11,16.11,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-28,16.01,16.13,15.50,15.55,16.11,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-29,15.56,15.70,15.33,15.45,15.55,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-09-30,15.57,15.81,15.42,15.80,15.45,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
2015-10-01,15.83,16.09,15.70,15.74,15.80,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,""
