Date,Open,High,Low,Close,Previous Close,Day Invested,Day Shares,Total Shares,Total Invested,Portfolio Value,Gain,Gain %,Trades Executed
2020-01-03,20.93,21.58,20.92,21.19,21.78,62.76,3.000000,3.000000,62.76,63.57,0.81,1.30,"1@$20.92(-4.0%);1@$20.92(-4.0%);1@$20.92(-4.0%)"
2020-01-06,20.69,21.60,20.61,21.59,21.19,41.22,2.000000,5.000000,103.97,107.96,3.99,3.84,"1@$20.61(-2.7%);1@$20.61(-2.7%)"
2020-01-07,21.61,21.77,21.38,21.57,21.59,0.00,0.000000,5.000000,103.97,107.83,3.86,3.71,""
2020-01-08,21.57,22.37,21.47,22.06,21.57,0.00,0.000000,5.000000,103.97,110.31,6.34,6.10,""
2020-01-09,22.59,22.75,22.23,22.62,22.06,0.00,0.000000,5.000000,103.97,113.09,9.12,8.77,""
2020-01-10,22.87,22.89,22.33,22.43,22.62,22.33,1.000000,6.000000,126.30,134.60,8.30,6.57,"1@$22.33(-1.3%)"
2020-01-13,22.71,23.23,22.61,23.22,22.43,0.00,0.000000,6.000000,126.30,139.31,13.00,10.30,""
2020-01-14,23.16,23.29,22.83,22.95,23.22,22.83,1.000000,7.000000,149.14,160.63,11.49,7.71,"1@$22.83(-1.7%)"
2020-01-15,22.97,23.29,22.74,22.96,22.95,0.00,0.000000,7.000000,149.14,160.73,11.59,7.77,""
2020-01-16,23.29,23.62,23.15,23.60,22.96,0.00,0.000000,7.000000,149.14,165.21,16.07,10.78,""
2020-01-17,23.91,24.01,23.56,23.95,23.60,0.00,0.000000,7.000000,149.14,167.68,18.54,12.43,""
2020-01-21,23.75,24.10,23.73,23.94,23.95,0.00,0.000000,7.000000,149.14,167.59,18.46,12.38,""
2020-01-22,24.27,24.53,24.02,24.11,23.94,0.00,0.000000,7.000000,149.14,168.74,19.60,13.14,""
2020-01-23,24.06,24.36,23.73,24.33,24.11,23.73,1.000000,8.000000,172.87,194.63,21.76,12.59,"1@$23.73(-1.6%)"
2020-01-24,24.67,24.75,23.38,23.70,24.33,70.14,3.000000,11.000000,243.01,260.67,17.66,7.27,"1@$23.38(-3.9%);1@$23.38(-3.9%);1@$23.38(-3.9%)"
2020-01-27,22.12,22.62,21.62,22.23,23.70,172.99,8.000000,19.000000,416.00,422.42,6.42,1.54,"1@$21.62(-8.8%);1@$21.62(-8.8%);1@$21.62(-8.8%);1@$21.62(-8.8%);1@$21.62(-8.8%);1@$21.62(-8.8%);1@$21.62(-8.8%);1@$21.62(-8.8%)"
2020-01-28,22.70,23.42,22.53,23.27,22.23,0.00,0.000000,19.000000,416.00,442.05,26.05,6.26,""
2020-01-29,23.65,23.73,23.06,23.35,23.27,0.00,0.000000,19.000000,416.00,443.65,27.65,6.65,""
2020-01-30,22.92,23.64,22.70,23.61,23.35,45.39,2.000000,21.000000,461.39,495.89,34.50,7.48,"1@$22.70(-2.8%);1@$22.70(-2.8%)"
2020-01-31,23.90,23.92,22.24,22.45,23.61,111.20,5.000000,26.000000,572.59,583.78,11.19,1.95,"1@$22.24(-5.8%);1@$22.24(-5.8%);1@$22.24(-5.8%);1@$22.24(-5.8%);1@$22.24(-5.8%)"
2020-02-03,22.81,23.66,22.76,23.48,22.45,0.00,0.000000,26.000000,572.59,610.59,38.00,6.64,""
2020-02-04,24.46,25.24,24.22,25.09,23.48,0.00,0.000000,26.000000,572.59,652.29,79.71,13.92,""
