Date,Weekday,Symbol,Strategy,Buy_Price,Dollars_Invested,Shares_Purchased,Cumulative_Shares,Cumulative_Invested,Cumulative_Value,Close_Price
2015-09-14,Monday,ALLY,DCA_Weekly,16.17,25.00,1.54625736,1.54625736,25.00,25.00,16.17
2015-09-21,Monday,ALLY,DCA_Weekly,16.56,25.00,1.50933784,3.05559521,50.00,50.61,16.56
2015-09-28,Monday,ALLY,DCA_Weekly,15.55,25.00,1.60795340,4.66354861,75.00,72.51,15.55
2015-10-05,Monday,ALLY,DCA_Weekly,15.87,25.00,1.57573148,6.23928009,100.00,98.99,15.87
2015-10-12,Monday,ALLY,DCA_Weekly,15.90,25.00,1.57265723,7.81193732,125.00,124.18,15.90
2015-10-19,Monday,ALLY,DCA_Weekly,15.73,25.00,1.58893352,9.40087084,150.00,147.91,15.73
2015-10-26,Monday,ALLY,DCA_Weekly,15.76,25.00,1.58658751,10.98745835,175.00,173.13,15.76
2015-11-02,Monday,ALLY,DCA_Weekly,15.47,25.00,1.61601277,12.60347112,200.00,194.98,15.47
2015-11-09,Monday,ALLY,DCA_Weekly,15.35,25.00,1.62825586,14.23172698,225.00,218.51,15.35
2015-11-16,Monday,ALLY,DCA_Weekly,15.72,25.00,1.59050116,15.82222814,250.00,248.70,15.72
2015-11-23,Monday,ALLY,DCA_Weekly,15.41,25.00,1.62251919,17.44474733,275.00,268.79,15.41
2015-11-30,Monday,ALLY,DCA_Weekly,15.48,25.00,1.61520356,19.05995089,300.00,295.01,15.48
2015-12-07,Monday,ALLY,DCA_Weekly,15.27,25.00,1.63735158,20.69730247,325.00,316.02,15.27
2015-12-14,Monday,ALLY,DCA_Weekly,14.32,25.00,1.74550413,22.44280660,350.00,321.44,14.32
2015-12-21,Monday,ALLY,DCA_Weekly,14.21,25.00,1.75883584,24.20164245,375.00,344.00,14.21
2015-12-28,Monday,ALLY,DCA_Weekly,14.53,25.00,1.72035559,25.92199804,400.00,376.70,14.53
2016-01-04,Monday,ALLY,DCA_Weekly,14.46,25.00,1.72865753,27.65065557,425.00,399.89,14.46
2016-01-11,Monday,ALLY,DCA_Weekly,13.03,25.00,1.91901575,29.56967132,450.00,385.22,13.03
2016-01-25,Monday,ALLY,DCA_Weekly,11.89,25.00,2.10303056,31.67270188,475.00,376.51,11.89
2016-02-01,Monday,ALLY,DCA_Weekly,12.45,25.00,2.00868948,33.68139136,500.00,419.20,12.45
2016-02-08,Monday,ALLY,DCA_Weekly,12.76,25.00,1.95984568,35.64123704,525.00,454.64,12.76
2016-02-22,Monday,ALLY,DCA_Weekly,13.60,25.00,1.83805377,37.47929081,550.00,509.77,13.60
2016-02-29,Monday,ALLY,DCA_Weekly,13.63,25.00,1.83387182,39.31316263,575.00,535.93,13.63
2016-03-07,Monday,ALLY,DCA_Weekly,14.64,25.00,1.70759851,41.02076114,600.00,600.56,14.64
2016-03-14,Monday,ALLY,DCA_Weekly,14.05,25.00,1.77921968,42.79998082,625.00,601.39,14.05
2016-03-21,Monday,ALLY,DCA_Weekly,14.36,25.00,1.74079162,44.54077244,650.00,639.66,14.36
2016-03-28,Monday,ALLY,DCA_Weekly,14.12,25.00,1.77042657,46.31119901,675.00,653.96,14.12
2016-04-04,Monday,ALLY,DCA_Weekly,14.11,25.00,1.77237277,48.08357179,700.00,678.24,14.11
2016-04-11,Monday,ALLY,DCA_Weekly,13.34,25.00,1.87438736,49.95795915,725.00,666.32,13.34
2016-04-18,Monday,ALLY,DCA_Weekly,13.68,25.00,1.82763403,51.78559317,750.00,708.37,13.68
2016-04-25,Monday,ALLY,DCA_Weekly,14.33,25.00,1.74455973,53.53015290,775.00,767.10,14.33
2016-05-02,Monday,ALLY,DCA_Weekly,13.81,25.00,1.81018934,55.34034225,800.00,764.29,13.81
2016-05-09,Monday,ALLY,DCA_Weekly,13.18,25.00,1.89643911,57.23678135,825.00,754.53,13.18
2016-05-16,Monday,ALLY,DCA_Weekly,13.03,25.00,1.91901575,59.15579711,850.00,770.65,13.03
2016-05-23,Monday,ALLY,DCA_Weekly,12.90,25.00,1.93863308,61.09443018,875.00,787.85,12.90
2016-06-06,Monday,ALLY,DCA_Weekly,14.07,25.00,1.77725830,62.87168849,900.00,884.39,14.07
2016-06-13,Monday,ALLY,DCA_Weekly,13.21,25.00,1.89309841,64.76478689,925.00,855.27,13.21
2016-06-20,Monday,ALLY,DCA_Weekly,12.90,25.00,1.93863308,66.70341997,950.00,860.19,12.90
2016-06-27,Monday,ALLY,DCA_Weekly,11.55,25.00,2.16372229,68.86714226,975.00,795.70,11.55
2016-07-11,Monday,ALLY,DCA_Weekly,12.98,25.00,1.92589396,70.79303622,1000.00,918.96,12.98
2016-07-18,Monday,ALLY,DCA_Weekly,13.55,25.00,1.84541873,72.63845495,1025.00,984.04,13.55
2016-07-25,Monday,ALLY,DCA_Weekly,13.67,25.00,1.82867054,74.46712549,1050.00,1018.05,13.67
2016-08-01,Monday,ALLY,DCA_Weekly,13.74,25.00,1.81935447,76.28647996,1075.00,1048.26,13.74
2016-08-08,Monday,ALLY,DCA_Weekly,14.50,25.00,1.72452527,78.01100523,1100.00,1130.91,14.50
2016-08-15,Monday,ALLY,DCA_Weekly,15.02,25.00,1.66459659,79.67560182,1125.00,1196.62,15.02
2016-08-22,Monday,ALLY,DCA_Weekly,15.19,25.00,1.64581615,81.32141797,1150.00,1235.27,15.19
2016-08-29,Monday,ALLY,DCA_Weekly,15.44,25.00,1.61924404,82.94066201,1175.00,1280.55,15.44
2016-09-12,Monday,ALLY,DCA_Weekly,15.37,25.00,1.62663001,84.56729202,1200.00,1299.73,15.37
2016-09-19,Monday,ALLY,DCA_Weekly,14.94,25.00,1.67327524,86.24056726,1225.00,1288.50,14.94
2016-09-26,Monday,ALLY,DCA_Weekly,14.68,25.00,1.70347243,87.94403969,1250.00,1290.66,14.68
2016-10-03,Monday,ALLY,DCA_Weekly,15.32,25.00,1.63159218,89.57563188,1275.00,1372.52,15.32
2016-10-10,Monday,ALLY,DCA_Weekly,15.50,25.00,1.61273414,91.18836602,1300.00,1413.57,15.50
2016-10-17,Monday,ALLY,DCA_Weekly,15.06,25.00,1.66029052,92.84865653,1325.00,1398.08,15.06
2016-10-24,Monday,ALLY,DCA_Weekly,15.18,25.00,1.64666068,94.49531721,1350.00,1434.65,15.18
2016-10-31,Monday,ALLY,DCA_Weekly,14.14,25.00,1.76845422,96.26377144,1375.00,1360.85,14.14
2016-11-07,Monday,ALLY,DCA_Weekly,13.68,25.00,1.82709978,98.09087122,1400.00,1342.17,13.68
2016-11-14,Monday,ALLY,DCA_Weekly,14.89,25.00,1.67924168,99.77011289,1425.00,1485.34,14.89
2016-11-21,Monday,ALLY,DCA_Weekly,15.23,25.00,1.64129309,101.41140598,1450.00,1544.69,15.23
