Date,Weekday,Symbol,Strategy,Buy_Price,Dollars_Invested,Shares_Purchased,Cumulative_Shares,Cumulative_Invested,Cumulative_Value,Close_Price
2015-08-31,Monday,ALLY,DCA_Weekly,16.95,25.00,1.47481516,1.47481516,25.00,25.00,16.95
2015-09-14,Monday,ALLY,DCA_Weekly,16.17,25.00,1.54625682,3.02107198,50.00,48.84,16.17
2015-09-21,Monday,ALLY,DCA_Weekly,16.56,25.00,1.50933784,4.53040982,75.00,75.04,16.56
2015-09-28,Monday,ALLY,DCA_Weekly,15.55,25.00,1.60795291,6.13836273,100.00,95.44,15.55
2015-10-05,Monday,ALLY,DCA_Weekly,15.87,25.00,1.57573158,7.71409431,125.00,122.39,15.87
2015-10-12,Monday,ALLY,DCA_Weekly,15.90,25.00,1.57265647,9.28675078,150.00,147.63,15.90
2015-10-19,Monday,ALLY,DCA_Weekly,15.73,25.00,1.58893362,10.87568440,175.00,171.12,15.73
2015-10-26,Monday,ALLY,DCA_Weekly,15.76,25.00,1.58658799,12.46227238,200.00,196.37,15.76
2015-11-02,Monday,ALLY,DCA_Weekly,15.47,25.00,1.61601317,14.07828555,225.00,217.79,15.47
2015-11-09,Monday,ALLY,DCA_Weekly,15.35,25.00,1.62825576,15.70654131,250.00,241.16,15.35
2015-11-16,Monday,ALLY,DCA_Weekly,15.72,25.00,1.59050126,17.29704257,275.00,271.88,15.72
2015-11-23,Monday,ALLY,DCA_Weekly,15.41,25.00,1.62251959,18.91956216,300.00,291.52,15.41
2015-11-30,Monday,ALLY,DCA_Weekly,15.48,25.00,1.61520376,20.53476592,325.00,317.84,15.48
2015-12-07,Monday,ALLY,DCA_Weekly,15.27,25.00,1.63735209,22.17211801,350.00,338.54,15.27
2015-12-14,Monday,ALLY,DCA_Weekly,14.32,25.00,1.74550413,23.91762215,375.00,342.56,14.32
2015-12-21,Monday,ALLY,DCA_Weekly,14.21,25.00,1.75883620,25.67645835,400.00,364.96,14.21
2015-12-28,Monday,ALLY,DCA_Weekly,14.53,25.00,1.72035536,27.39681371,425.00,398.13,14.53
2016-01-04,Monday,ALLY,DCA_Weekly,14.46,25.00,1.72865787,29.12547158,450.00,421.22,14.46
