Date,Weekday,Symbol,Strategy,Buy_Price,Dollars_Invested,Shares_Purchased,Cumulative_Shares,Cumulative_Invested,Cumulative_Value,Close_Price
2020-06-08,Monday,FBCG,DCA_Monthly,20.57,25.00,1.21536218,4.86769,100.0,100.12,20.57
2020-07-06,Monday,FBCG,DCA_Monthly,21.96,25.00,1.13843352,9.4289,200.0,207.03,21.96
2020-08-03,Monday,FBCG,DCA_Monthly,23.15,25.00,1.07991361,13.7663,300.0,318.64,23.15
2020-09-14,Monday,FBCG,DCA_Monthly,24.24,25.00,1.03135314,17.89674,400.0,433.87,24.24
2020-10-05,Monday,FBCG,DCA_Monthly,25.03,25.00,0.99880144,21.92055,500.0,548.71,25.03
2020-11-02,Monday,FBCG,DCA_Monthly,23.91,25.00,1.04558762,26.09358,600.0,623.99,23.91
2020-12-07,Monday,FBCG,DCA_Monthly,27.82,25.00,0.89863408,29.69604,700.0,826.07,27.82
2021-01-04,Monday,FBCG,DCA_Monthly,28.06,25.00,0.89094797,33.2223,800.0,932.19,28.06
2021-02-01,Monday,FBCG,DCA_Monthly,29.64,25.00,0.84345479,36.62196,900.0,1085.36,29.64
2021-03-01,Monday,FBCG,DCA_Monthly,30.34,25.00,0.82399473,39.9422,1000.0,1211.68,30.34
2021-04-05,Monday,FBCG,DCA_Monthly,30.19,25.00,0.82808877,43.26125,1100.0,1305.88,30.19
2021-05-03,Monday,FBCG,DCA_Monthly,30.7,25.00,0.81433225,46.50253,1200.0,1427.41,30.7
2021-06-07,Monday,FBCG,DCA_Monthly,30.66,25.00,0.81539465,49.77794,1300.0,1525.96,30.66
2021-07-12,Monday,FBCG,DCA_Monthly,32.94,25.00,0.75895568,52.81346,1400.0,1739.78,32.94
2021-08-02,Monday,FBCG,DCA_Monthly,32.73,25.00,0.76382524,55.85833,1500.0,1828.37,32.73
2021-09-13,Monday,FBCG,DCA_Monthly,33.77,25.00,0.74030204,58.81379,1600.0,1986.19,33.77
2021-10-04,Monday,FBCG,DCA_Monthly,31.93,25.00,0.78296273,61.91716,1700.0,1977.23,31.93
2021-11-01,Monday,FBCG,DCA_Monthly,35.23,25.00,0.70962248,64.75656,1800.0,2281.29,35.23
2021-12-06,Monday,FBCG,DCA_Monthly,34.03,25.00,0.73464590,67.71682,1900.0,2304.43,34.03
2022-01-03,Monday,FBCG,DCA_Monthly,34.96,25.00,0.71510297,70.58781,2000.0,2467.68,34.96
2022-02-07,Monday,FBCG,DCA_Monthly,29.95,25.00,0.83472454,73.90609,2100.0,2213.22,29.95
2022-03-07,Monday,FBCG,DCA_Monthly,26.53,25.00,0.94232944,77.58454,2200.0,2058.42,26.53
2022-04-04,Monday,FBCG,DCA_Monthly,30.89,25.00,0.80932341,80.85593,2300.0,2498.04,30.89
2022-05-02,Monday,FBCG,DCA_Monthly,26.18,25.00,0.95492743,84.7248,2400.0,2218.25,26.18
2022-06-06,Monday,FBCG,DCA_Monthly,24.62,25.00,1.01543461,88.76934,2500.0,2185.87,24.62
2022-07-11,Monday,FBCG,DCA_Monthly,22.44,25.00,1.11408200,93.19445,2600.0,2091.03,22.44
