Date,Weekday,Symbol,Strategy,Buy_Price,Dollars_Invested,Shares_Purchased,Cumulative_Shares,Cumulative_Invested,Cumulative_Value,Close_Price
2015-08-31,Monday,TQQQ,DCA_Weekly,3.79,25.00,6.60484784,6.60484784,25.00,25.00,3.79
2015-09-14,Monday,TQQQ,DCA_Weekly,3.85,25.00,6.49332932,13.09817716,50.00,50.43,3.85
2015-09-21,Monday,TQQQ,DCA_Weekly,3.92,25.00,6.37188538,19.47006254,75.00,76.39,3.92
2015-09-28,Monday,TQQQ,DCA_Weekly,3.31,25.00,7.55169203,27.02175457,100.00,89.46,3.31
2015-10-05,Monday,TQQQ,DCA_Weekly,3.88,25.00,6.44658508,33.46833965,125.00,129.79,3.88
2015-10-12,Monday,TQQQ,DCA_Weekly,4.01,25.00,6.23003385,39.69837350,150.00,159.30,4.01
2015-10-19,Monday,TQQQ,DCA_Weekly,4.23,25.00,5.90380441,45.60217791,175.00,193.11,4.23
2015-10-26,Monday,TQQQ,DCA_Weekly,4.72,25.00,5.30208896,50.90426686,200.00,240.02,4.72
2015-11-02,Monday,TQQQ,DCA_Weekly,4.93,25.00,5.06640202,55.97066888,225.00,276.19,4.93
2015-11-09,Monday,TQQQ,DCA_Weekly,4.80,25.00,5.21215642,61.18282531,250.00,293.46,4.80
2015-11-16,Monday,TQQQ,DCA_Weekly,4.51,25.00,5.53866463,66.72148994,275.00,301.16,4.51
2015-11-23,Monday,TQQQ,DCA_Weekly,4.85,25.00,5.15260634,71.87409627,300.00,348.73,4.85
2015-11-30,Monday,TQQQ,DCA_Weekly,4.83,25.00,5.17130806,77.04540433,325.00,372.47,4.83
2015-12-07,Monday,TQQQ,DCA_Weekly,4.90,25.00,5.10601878,82.15142312,350.00,402.23,4.90
2015-12-14,Monday,TQQQ,DCA_Weekly,4.51,25.00,5.54454365,87.69596677,375.00,395.42,4.51
2015-12-21,Monday,TQQQ,DCA_Weekly,4.47,25.00,5.59851742,93.29448419,400.00,416.60,4.47
2015-12-28,Monday,TQQQ,DCA_Weekly,4.64,25.00,5.38405918,98.67854337,425.00,458.20,4.64
2016-01-04,Monday,TQQQ,DCA_Weekly,4.28,25.00,5.84490459,104.52344796,450.00,447.07,4.28
2016-01-11,Monday,TQQQ,DCA_Weekly,3.68,25.00,6.79971791,111.32316588,475.00,409.29,3.68
2016-01-25,Monday,TQQQ,DCA_Weekly,3.41,25.00,7.33433953,118.65750540,500.00,404.46,3.41
2016-02-01,Monday,TQQQ,DCA_Weekly,3.61,25.00,6.91905086,125.57655626,525.00,453.73,3.61
2016-02-08,Monday,TQQQ,DCA_Weekly,2.85,25.00,8.76858370,134.34513996,550.00,383.03,2.85
2016-02-22,Monday,TQQQ,DCA_Weekly,3.46,25.00,7.23195513,141.57709510,575.00,489.42,3.46
2016-02-29,Monday,TQQQ,DCA_Weekly,3.38,25.00,7.40538863,148.98248372,600.00,502.95,3.38
2016-03-07,Monday,TQQQ,DCA_Weekly,3.62,25.00,6.90609258,155.88857630,625.00,564.32,3.62
2016-03-14,Monday,TQQQ,DCA_Weekly,3.79,25.00,6.60415106,162.49272736,650.00,615.12,3.79
2016-03-21,Monday,TQQQ,DCA_Weekly,3.94,25.00,6.34993958,168.84266694,675.00,664.74,3.94
2016-03-28,Monday,TQQQ,DCA_Weekly,3.86,25.00,6.47254473,175.31521167,700.00,677.15,3.86
2016-04-04,Monday,TQQQ,DCA_Weekly,4.17,25.00,5.99871785,181.31392952,725.00,755.64,4.17
2016-04-11,Monday,TQQQ,DCA_Weekly,4.01,25.00,6.22941501,187.54334453,750.00,752.65,4.01
2016-04-18,Monday,TQQQ,DCA_Weekly,4.30,25.00,5.81400416,193.35734869,775.00,831.43,4.30
2016-04-25,Monday,TQQQ,DCA_Weekly,4.04,25.00,6.18455157,199.54190027,800.00,806.61,4.04
2016-05-02,Monday,TQQQ,DCA_Weekly,3.79,25.00,6.59442443,206.13632470,825.00,781.48,3.79
2016-05-09,Monday,TQQQ,DCA_Weekly,3.70,25.00,6.75720558,212.89353028,850.00,787.65,3.70
2016-05-16,Monday,TQQQ,DCA_Weekly,3.79,25.00,6.59095755,219.48448783,875.00,832.52,3.79
2016-05-23,Monday,TQQQ,DCA_Weekly,3.73,25.00,6.69585597,226.18034380,900.00,844.48,3.73
2016-06-06,Monday,TQQQ,DCA_Weekly,4.18,25.00,5.98154657,232.16189037,925.00,970.33,4.18
2016-06-13,Monday,TQQQ,DCA_Weekly,3.91,25.00,6.39789874,238.55978911,950.00,932.18,3.91
2016-06-20,Monday,TQQQ,DCA_Weekly,3.84,25.00,6.51627923,245.07606834,975.00,940.25,3.84
2016-06-27,Monday,TQQQ,DCA_Weekly,3.32,25.00,7.53988425,252.61595259,1000.00,837.60,3.32
2016-07-11,Monday,TQQQ,DCA_Weekly,4.21,25.00,5.94467437,258.56062696,1025.00,1087.36,4.21
2016-07-18,Monday,TQQQ,DCA_Weekly,4.39,25.00,5.69567537,264.25630233,1050.00,1159.90,4.39
2016-07-25,Monday,TQQQ,DCA_Weekly,4.52,25.00,5.52889412,269.78519645,1075.00,1219.89,4.52
2016-08-01,Monday,TQQQ,DCA_Weekly,4.78,25.00,5.22998495,275.01518140,1100.00,1314.61,4.78
2016-08-08,Monday,TQQQ,DCA_Weekly,4.88,25.00,5.12187369,280.13705508,1125.00,1367.36,4.88
2016-08-15,Monday,TQQQ,DCA_Weekly,5.01,25.00,4.99017647,285.12723155,1150.00,1428.44,5.01
2016-08-22,Monday,TQQQ,DCA_Weekly,4.96,25.00,5.04357506,290.17080661,1175.00,1438.32,4.96
2016-08-29,Monday,TQQQ,DCA_Weekly,4.90,25.00,5.09771393,295.26852054,1200.00,1448.04,4.90
2016-09-12,Monday,TQQQ,DCA_Weekly,4.80,25.00,5.20869171,300.47721225,1225.00,1442.19,4.80
2016-09-19,Monday,TQQQ,DCA_Weekly,4.90,25.00,5.10601878,305.58323103,1250.00,1496.19,4.90
2016-09-26,Monday,TQQQ,DCA_Weekly,4.97,25.00,5.03506862,310.61829965,1275.00,1542.27,4.97
2016-10-03,Monday,TQQQ,DCA_Weekly,5.12,25.00,4.88593963,315.50423929,1300.00,1614.35,5.12
2016-10-10,Monday,TQQQ,DCA_Weekly,5.19,25.00,4.81648833,320.32072762,1325.00,1662.63,5.19
2016-10-17,Monday,TQQQ,DCA_Weekly,4.88,25.00,5.11810920,325.43883681,1350.00,1589.64,4.88
2016-10-24,Monday,TQQQ,DCA_Weekly,5.23,25.00,4.78122194,330.22005876,1375.00,1726.65,5.23
