Date,Weekday,Symbol,Strategy,Buy_Price,Dollars_Invested,Shares_Purchased,Cumulative_Shares,Cumulative_Invested,Cumulative_Value,Close_Price
2015-08-31,Monday,VGT,DCA_Weekly,92.12,25.00,0.27138204,0.27138204,25.00,25.00,92.12
2015-09-14,Monday,VGT,DCA_Weekly,92.52,25.00,0.27022023,0.54160227,50.00,50.11,92.52
2015-09-21,Monday,VGT,DCA_Weekly,93.29,25.00,0.26797801,0.80958028,75.00,75.53,93.29
2015-09-28,Monday,VGT,DCA_Weekly,89.49,25.00,0.27935295,1.08893323,100.00,97.45,89.49
2015-10-05,Monday,VGT,DCA_Weekly,94.16,25.00,0.26551870,1.35445193,125.00,127.53,94.16
2015-10-12,Monday,VGT,DCA_Weekly,95.93,25.00,0.26061291,1.61506484,150.00,154.93,95.93
2015-10-19,Monday,VGT,DCA_Weekly,97.13,25.00,0.25739361,1.87245845,175.00,181.87,97.13
2015-10-26,Monday,VGT,DCA_Weekly,100.26,25.00,0.24934358,2.12180202,200.00,212.74,100.26
2015-11-02,Monday,VGT,DCA_Weekly,101.36,25.00,0.24663812,2.36844014,225.00,240.07,101.36
2015-11-09,Monday,VGT,DCA_Weekly,101.54,25.00,0.24621860,2.61465874,250.00,265.48,101.54
2015-11-16,Monday,VGT,DCA_Weekly,99.08,25.00,0.25231712,2.86697586,275.00,284.06,99.08
2015-11-23,Monday,VGT,DCA_Weekly,101.37,25.00,0.24661601,3.11359187,300.00,315.63,101.37
2015-11-30,Monday,VGT,DCA_Weekly,101.59,25.00,0.24608645,3.35967832,325.00,341.31,101.59
2015-12-07,Monday,VGT,DCA_Weekly,102.06,25.00,0.24494687,3.60462518,350.00,367.90,102.06
2015-12-14,Monday,VGT,DCA_Weekly,99.00,25.00,0.25252560,3.85715079,375.00,381.86,99.00
2015-12-21,Monday,VGT,DCA_Weekly,98.25,25.00,0.25444115,4.11159194,400.00,403.98,98.25
2015-12-28,Monday,VGT,DCA_Weekly,99.71,25.00,0.25073860,4.36233054,425.00,434.95,99.71
2016-01-04,Monday,VGT,DCA_Weekly,97.26,25.00,0.25704164,4.61937218,450.00,449.28,97.26
2016-01-11,Monday,VGT,DCA_Weekly,92.06,25.00,0.27156086,4.89093304,475.00,450.26,92.06
2016-01-25,Monday,VGT,DCA_Weekly,90.15,25.00,0.27730441,5.16823745,500.00,465.94,90.15
2016-02-01,Monday,VGT,DCA_Weekly,93.22,25.00,0.26818575,5.43642320,525.00,506.78,93.22
2016-02-08,Monday,VGT,DCA_Weekly,86.33,25.00,0.28958275,5.72600596,550.00,494.33,86.33
2016-02-22,Monday,VGT,DCA_Weekly,92.32,25.00,0.27078279,5.99678875,575.00,553.65,92.32
2016-02-29,Monday,VGT,DCA_Weekly,92.09,25.00,0.27148023,6.26826898,600.00,577.23,92.09
2016-03-07,Monday,VGT,DCA_Weekly,94.93,25.00,0.26334051,6.53160949,625.00,620.07,94.93
2016-03-14,Monday,VGT,DCA_Weekly,96.35,25.00,0.25947555,6.79108505,650.00,654.31,96.35
2016-03-21,Monday,VGT,DCA_Weekly,98.77,25.00,0.25310507,7.04419012,675.00,695.78,98.77
2016-03-28,Monday,VGT,DCA_Weekly,98.03,25.00,0.25502020,7.29921032,700.00,715.55,98.03
2016-04-04,Monday,VGT,DCA_Weekly,100.53,25.00,0.24867840,7.54788873,725.00,758.80,100.53
2016-04-11,Monday,VGT,DCA_Weekly,98.96,25.00,0.25263664,7.80052536,750.00,771.91,98.96
2016-04-18,Monday,VGT,DCA_Weekly,100.83,25.00,0.24793317,8.04845853,775.00,811.56,100.83
2016-04-25,Monday,VGT,DCA_Weekly,98.69,25.00,0.25331647,8.30177500,800.00,819.31,98.69
2016-05-02,Monday,VGT,DCA_Weekly,96.17,25.00,0.25994969,8.56172469,825.00,823.40,96.17
2016-05-09,Monday,VGT,DCA_Weekly,95.59,25.00,0.26154354,8.82326822,850.00,843.38,95.59
2016-05-16,Monday,VGT,DCA_Weekly,96.73,25.00,0.25844850,9.08171672,875.00,878.48,96.73
2016-05-23,Monday,VGT,DCA_Weekly,96.95,25.00,0.25786263,9.33957936,900.00,905.48,96.95
2016-06-06,Monday,VGT,DCA_Weekly,100.70,25.00,0.24827135,9.58785071,925.00,965.46,100.70
2016-06-13,Monday,VGT,DCA_Weekly,99.02,25.00,0.25247309,9.84032380,950.00,974.39,99.02
2016-06-20,Monday,VGT,DCA_Weekly,98.95,25.00,0.25266001,10.09298381,975.00,998.67,98.95
2016-06-27,Monday,VGT,DCA_Weekly,93.66,25.00,0.26693630,10.35992011,1000.00,970.26,93.66
2016-07-11,Monday,VGT,DCA_Weekly,100.89,25.00,0.24778264,10.60770274,1025.00,1070.26,100.89
2016-07-18,Monday,VGT,DCA_Weekly,103.10,25.00,0.24248341,10.85018615,1050.00,1118.65,103.10
2016-07-25,Monday,VGT,DCA_Weekly,104.29,25.00,0.23972766,11.08991381,1075.00,1156.51,104.29
2016-08-01,Monday,VGT,DCA_Weekly,106.31,25.00,0.23516971,11.32508352,1100.00,1203.93,106.31
2016-08-08,Monday,VGT,DCA_Weekly,107.59,25.00,0.23235830,11.55744183,1125.00,1243.49,107.59
2016-08-15,Monday,VGT,DCA_Weekly,108.42,25.00,0.23058628,11.78802811,1150.00,1278.05,108.42
2016-08-22,Monday,VGT,DCA_Weekly,108.09,25.00,0.23129187,12.01931997,1175.00,1299.15,108.09
2016-08-29,Monday,VGT,DCA_Weekly,108.61,25.00,0.23017668,12.24949665,1200.00,1330.45,108.61
2016-09-12,Monday,VGT,DCA_Weekly,108.10,25.00,0.23127223,12.48076888,1225.00,1349.14,108.10
2016-09-19,Monday,VGT,DCA_Weekly,109.14,25.00,0.22907220,12.70984108,1250.00,1387.10,109.14
2016-09-26,Monday,VGT,DCA_Weekly,109.41,25.00,0.22850665,12.93834773,1275.00,1415.53,109.41
2016-10-03,Monday,VGT,DCA_Weekly,110.64,25.00,0.22595545,13.16430318,1300.00,1456.52,110.64
2016-10-10,Monday,VGT,DCA_Weekly,111.50,25.00,0.22421802,13.38852120,1325.00,1492.80,111.50
2016-10-17,Monday,VGT,DCA_Weekly,109.47,25.00,0.22837194,13.61689314,1350.00,1490.65,109.47
2016-10-24,Monday,VGT,DCA_Weekly,111.83,25.00,0.22355260,13.84044574,1375.00,1547.78,111.83
2016-10-31,Monday,VGT,DCA_Weekly,110.36,25.00,0.22652161,14.06696735,1400.00,1552.50,110.36
2016-11-07,Monday,VGT,DCA_Weekly,109.96,25.00,0.22735722,14.29432457,1425.00,1571.79,109.96
2016-11-14,Monday,VGT,DCA_Weekly,107.97,25.00,0.23155033,14.52587490,1450.00,1568.33,107.97
2016-11-21,Monday,VGT,DCA_Weekly,112.07,25.00,0.22307455,14.74894944,1475.00,1652.92,112.07
2016-11-28,Monday,VGT,DCA_Weekly,112.04,25.00,0.22312956,14.97207900,1500.00,1677.51,112.04
2016-12-05,Monday,VGT,DCA_Weekly,109.88,25.00,0.22752893,15.19960794,1525.00,1670.07,109.88
2016-12-12,Monday,VGT,DCA_Weekly,112.85,25.00,0.22152561,15.42113355,1550.00,1740.33,112.85
2016-12-19,Monday,VGT,DCA_Weekly,114.17,25.00,0.21898008,15.64011363,1575.00,1785.56,114.17
2017-01-09,Monday,VGT,DCA_Weekly,115.30,25.00,0.21681910,15.85693273,1600.00,1828.36,115.30
2017-01-23,Monday,VGT,DCA_Weekly,116.24,25.00,0.21507629,16.07200902,1625.00,1868.18,116.24
2017-01-30,Monday,VGT,DCA_Weekly,117.81,25.00,0.21220529,16.28421431,1650.00,1918.45,117.81
2017-02-06,Monday,VGT,DCA_Weekly,119.25,25.00,0.20963725,16.49385156,1675.00,1966.95,119.25
2017-02-13,Monday,VGT,DCA_Weekly,121.42,25.00,0.20589967,16.69975123,1700.00,2027.66,121.42
2017-02-27,Monday,VGT,DCA_Weekly,123.80,25.00,0.20194538,16.90169660,1725.00,2092.36,123.80
2017-03-06,Monday,VGT,DCA_Weekly,123.82,25.00,0.20190016,17.10359676,1750.00,2117.83,123.82
2017-03-13,Monday,VGT,DCA_Weekly,124.80,25.00,0.20031377,17.30391053,1775.00,2159.60,124.80
2017-03-20,Monday,VGT,DCA_Weekly,125.78,25.00,0.19875221,17.50266274,1800.00,2201.57,125.78
2017-03-27,Monday,VGT,DCA_Weekly,124.57,25.00,0.20069537,17.70335811,1825.00,2205.25,124.57
2017-04-03,Monday,VGT,DCA_Weekly,125.44,25.00,0.19930032,17.90265843,1850.00,2245.69,125.44
2017-04-10,Monday,VGT,DCA_Weekly,124.82,25.00,0.20029263,18.10295105,1875.00,2259.56,124.82
2017-04-17,Monday,VGT,DCA_Weekly,124.45,25.00,0.20088985,18.30384091,1900.00,2277.85,124.45
2017-04-24,Monday,VGT,DCA_Weekly,127.28,25.00,0.19642432,18.50026523,1925.00,2354.63,127.28
2017-05-01,Monday,VGT,DCA_Weekly,129.90,25.00,0.19245489,18.69272011,1950.00,2428.20,129.90
2017-05-08,Monday,VGT,DCA_Weekly,131.15,25.00,0.19061724,18.88333736,1975.00,2476.60,131.15
2017-05-15,Monday,VGT,DCA_Weekly,133.02,25.00,0.18794545,19.07128281,2000.00,2536.81,133.02
2017-05-22,Monday,VGT,DCA_Weekly,132.63,25.00,0.18849753,19.25978034,2025.00,2554.38,132.63
2017-06-05,Monday,VGT,DCA_Weekly,136.47,25.00,0.18319317,19.44297351,2050.00,2653.34,136.47
2017-06-12,Monday,VGT,DCA_Weekly,132.28,25.00,0.18899985,19.63197336,2075.00,2596.82,132.28
2017-06-19,Monday,VGT,DCA_Weekly,133.94,25.00,0.18664383,19.81861718,2100.00,2654.60,133.94
2017-06-26,Monday,VGT,DCA_Weekly,134.09,25.00,0.18643730,20.00505448,2125.00,2682.54,134.09
2017-07-03,Monday,VGT,DCA_Weekly,129.96,25.00,0.19237220,20.19742668,2150.00,2624.78,129.96
