Date,Weekday,Symbol,Strategy,Buy_Price,Dollars_Invested,Shares_Purchased,Cumulative_Shares,Cumulative_Invested,Cumulative_Value,Close_Price
2015-09-14,Monday,XLG,DCA_Weekly,11.76,25.00,2.12544111,2.12544111,25.00,25.00,11.76
2015-09-21,Monday,XLG,DCA_Weekly,11.83,25.00,2.11405991,4.23950102,50.00,50.13,11.83
2015-09-28,Monday,XLG,DCA_Weekly,11.39,25.00,2.19514007,6.43464109,75.00,73.28,11.39
2015-10-05,Monday,XLG,DCA_Weekly,11.98,25.00,2.08743624,8.52207733,100.00,102.06,11.98
2015-10-12,Monday,XLG,DCA_Weekly,12.15,25.00,2.05792402,10.58000135,125.00,128.53,12.15
2015-10-19,Monday,XLG,DCA_Weekly,12.31,25.00,2.03067155,12.61067289,150.00,155.25,12.31
2015-10-26,Monday,XLG,DCA_Weekly,12.67,25.00,1.97364657,14.58431946,175.00,184.74,12.67
2015-11-02,Monday,XLG,DCA_Weekly,12.88,25.00,1.94052292,16.52484239,200.00,212.89,12.88
2015-11-09,Monday,XLG,DCA_Weekly,12.80,25.00,1.95387774,18.47872013,225.00,236.44,12.80
2015-11-16,Monday,XLG,DCA_Weekly,12.62,25.00,1.98155700,20.46027713,250.00,258.13,12.62
2015-11-23,Monday,XLG,DCA_Weekly,12.84,25.00,1.94724426,22.40752138,275.00,287.68,12.84
2015-11-30,Monday,XLG,DCA_Weekly,12.79,25.00,1.95534375,24.36286513,300.00,311.49,12.79
2015-12-07,Monday,XLG,DCA_Weekly,12.85,25.00,1.94579051,26.30865564,325.00,338.02,12.85
2015-12-14,Monday,XLG,DCA_Weekly,12.57,25.00,1.98870279,28.29735843,350.00,355.73,12.57
2015-12-21,Monday,XLG,DCA_Weekly,12.56,25.00,1.99054267,30.28790110,375.00,380.40,12.56
2015-12-28,Monday,XLG,DCA_Weekly,12.75,25.00,1.96140563,32.24930673,400.00,411.05,12.75
2016-01-04,Monday,XLG,DCA_Weekly,12.47,25.00,2.00550998,34.25481671,425.00,427.01,12.47
2016-01-11,Monday,XLG,DCA_Weekly,11.96,25.00,2.08964749,36.34446420,450.00,434.82,11.96
2016-01-25,Monday,XLG,DCA_Weekly,11.77,25.00,2.12449149,38.46895569,475.00,452.68,11.77
2016-02-01,Monday,XLG,DCA_Weekly,12.14,25.00,2.06008433,40.52904001,500.00,491.84,12.14
2016-02-08,Monday,XLG,DCA_Weekly,11.67,25.00,2.14138759,42.67042760,525.00,498.16,11.67
2016-02-22,Monday,XLG,DCA_Weekly,12.18,25.00,2.05252871,44.72295631,550.00,544.73,12.18
2016-02-29,Monday,XLG,DCA_Weekly,12.03,25.00,2.07732748,46.80028379,575.00,563.23,12.03
2016-03-07,Monday,XLG,DCA_Weekly,12.42,25.00,2.01314878,48.81343257,600.00,606.18,12.42
2016-03-14,Monday,XLG,DCA_Weekly,12.55,25.00,1.99221048,50.80564305,625.00,637.55,12.55
2016-03-21,Monday,XLG,DCA_Weekly,12.73,25.00,1.96434956,52.76999261,650.00,671.60,12.73
2016-03-28,Monday,XLG,DCA_Weekly,12.67,25.00,1.97309009,54.74308270,675.00,693.62,12.67
2016-04-04,Monday,XLG,DCA_Weekly,12.87,25.00,1.94243373,56.68551643,700.00,729.57,12.87
2016-04-11,Monday,XLG,DCA_Weekly,12.74,25.00,1.96231212,58.64782855,725.00,747.18,12.74
2016-04-18,Monday,XLG,DCA_Weekly,13.05,25.00,1.91516785,60.56299640,750.00,790.57,13.05
2016-04-25,Monday,XLG,DCA_Weekly,12.97,25.00,1.92687144,62.48986784,775.00,810.77,12.97
2016-05-02,Monday,XLG,DCA_Weekly,12.89,25.00,1.93977854,64.42964638,800.00,830.37,12.89
2016-05-09,Monday,XLG,DCA_Weekly,12.79,25.00,1.95407028,66.38371667,825.00,849.30,12.79
2016-05-16,Monday,XLG,DCA_Weekly,12.87,25.00,1.94269975,68.32641642,850.00,879.27,12.87
2016-05-23,Monday,XLG,DCA_Weekly,12.75,25.00,1.96095607,70.28737249,875.00,896.09,12.75
2016-06-06,Monday,XLG,DCA_Weekly,13.12,25.00,1.90565127,72.19302377,900.00,947.09,13.12
2016-06-13,Monday,XLG,DCA_Weekly,12.95,25.00,1.93119826,74.12422203,925.00,959.56,12.95
2016-06-20,Monday,XLG,DCA_Weekly,12.94,25.00,1.93273358,76.05695561,950.00,983.80,12.94
2016-06-27,Monday,XLG,DCA_Weekly,12.53,25.00,1.99501824,78.05197385,975.00,978.09,12.53
2016-07-11,Monday,XLG,DCA_Weekly,13.35,25.00,1.87235577,79.92432962,1000.00,1067.16,13.35
2016-07-18,Monday,XLG,DCA_Weekly,13.53,25.00,1.84808538,81.77241500,1025.00,1106.18,13.53
2016-07-25,Monday,XLG,DCA_Weekly,13.52,25.00,1.84905393,83.62146893,1050.00,1130.60,13.52
2016-08-01,Monday,XLG,DCA_Weekly,13.59,25.00,1.83941520,85.46088413,1075.00,1161.52,13.59
2016-08-08,Monday,XLG,DCA_Weekly,13.65,25.00,1.83094479,87.29182892,1100.00,1191.90,13.65
2016-08-15,Monday,XLG,DCA_Weekly,13.71,25.00,1.82325834,89.11508726,1125.00,1221.92,13.71
2016-08-22,Monday,XLG,DCA_Weekly,13.64,25.00,1.83308458,90.94817184,1150.00,1240.37,13.64
2016-08-29,Monday,XLG,DCA_Weekly,13.63,25.00,1.83391840,92.78209024,1175.00,1264.81,13.63
2016-09-12,Monday,XLG,DCA_Weekly,13.55,25.00,1.84482457,94.62691481,1200.00,1282.33,13.55
2016-09-19,Monday,XLG,DCA_Weekly,13.46,25.00,1.85794355,96.48485836,1225.00,1298.27,13.46
2016-09-26,Monday,XLG,DCA_Weekly,13.46,25.00,1.85683782,98.34169618,1250.00,1324.05,13.46
2016-10-03,Monday,XLG,DCA_Weekly,13.56,25.00,1.84330760,100.18500378,1275.00,1358.77,13.56
2016-10-10,Monday,XLG,DCA_Weekly,13.64,25.00,1.83283992,102.01784370,1300.00,1391.53,13.64
2016-10-17,Monday,XLG,DCA_Weekly,13.43,25.00,1.86151529,103.87935899,1325.00,1395.09,13.43
2016-10-24,Monday,XLG,DCA_Weekly,13.53,25.00,1.84779528,105.72715427,1350.00,1430.45,13.53
2016-10-31,Monday,XLG,DCA_Weekly,13.36,25.00,1.87144068,107.59859495,1375.00,1437.38,13.36
2016-11-07,Monday,XLG,DCA_Weekly,13.38,25.00,1.86857651,109.46717146,1400.00,1464.58,13.38
2016-11-14,Monday,XLG,DCA_Weekly,13.49,25.00,1.85389528,111.32106674,1425.00,1501.18,13.49
2016-11-21,Monday,XLG,DCA_Weekly,13.71,25.00,1.82355500,113.14462174,1450.00,1551.15,13.71
2016-11-28,Monday,XLG,DCA_Weekly,13.73,25.00,1.82142574,114.96604748,1475.00,1577.97,13.73
2016-12-05,Monday,XLG,DCA_Weekly,13.72,25.00,1.82237122,116.78841870,1500.00,1602.15,13.72
2016-12-12,Monday,XLG,DCA_Weekly,14.10,25.00,1.77289419,118.56131289,1525.00,1671.86,14.10
2016-12-19,Monday,XLG,DCA_Weekly,14.20,25.00,1.76075072,120.32206361,1550.00,1708.39,14.20
2017-01-09,Monday,XLG,DCA_Weekly,14.30,25.00,1.74852296,122.07058656,1575.00,1745.34,14.30
2017-01-23,Monday,XLG,DCA_Weekly,14.23,25.00,1.75731851,123.82790508,1600.00,1761.60,14.23
2017-01-30,Monday,XLG,DCA_Weekly,14.31,25.00,1.74710207,125.57500715,1625.00,1796.90,14.31
2017-02-06,Monday,XLG,DCA_Weekly,14.40,25.00,1.73668003,127.31168717,1650.00,1832.69,14.40
2017-02-13,Monday,XLG,DCA_Weekly,14.62,25.00,1.71042760,129.02211478,1675.00,1885.82,14.62
2017-02-27,Monday,XLG,DCA_Weekly,14.97,25.00,1.67055527,130.69267004,1700.00,1955.83,14.97
2017-03-06,Monday,XLG,DCA_Weekly,15.08,25.00,1.65836306,132.35103310,1725.00,1995.21,15.08
2017-03-13,Monday,XLG,DCA_Weekly,15.10,25.00,1.65600457,134.00703768,1750.00,2023.05,15.10
